id,marca,modelo,año,moderno,cilindrada,estilo,combustible,transmisión,estado,kilometraje,puertas,pago impuesto,negociable,recibe vehículo,fecha ingreso,veces visto,comentarios,tiene imagen,precio,precio_sugerido,precio_sugerido_generico,difrencia generica
31079419,Mitsubishi,OUTLANDER GLS,2004,Regular,"2,400 cc",Todo Terreno 4x4,Gasolina,Automática/Dual,Muy Bueno,200K-500K,5,SI,SI,NO,26 de Junio del 2020,406,carro se encuentra muy bien mecanicamente incluye traspaso en efectivo,No,4150000,0,4863333,0.1466757468592013
54154388,Toyota,COROLLA,2007,Regular,"1,800 cc",Sedán,Gasolina,Automática/Dual,Excelente,100K-200K,5,SI,SI,NO,29 de Junio del 2020,673,,Si,4150000,0,4105729,-0.01078273797418193
37451733,Toyota,RAV4,2003,Regular,"2,000 cc",Todo Terreno 4x2,Gasolina,Automática/Dual,Excelente,100K-200K,5,SI,SI,NO,29 de Junio del 2020,729,,Si,4150000,0,5159558,0.19566753586256808
75871947,Nissan,TIIDA,2012,Moderno,"1,500 cc",Sedán,Gasolina,Manual,Muy Bueno,100K-200K,4,SI,SI,NO,02 de Julio del 2020,652,BUEN ESTADO,Si,4150000,0,5140532,0.1926905619885257
6233187,Toyota,COROLLA,2006,Regular,"1,800 cc",Sedán,Gasolina,Automática/Dual,Excelente,50K-100K,4,SI,SI,SI,13 de Julio del 2020,1460,"MUY LINDO EN EXELENTES CONDICIONES,CD,RTV,VERCION AMERICANA,,,",Si,4150000,0,4583648,0.09460761384818381
15519766,Mitsubishi,LANCER GLS,2008,Regular,"1,500 cc",Sedán,Gasolina,Automática/Dual,Excelente,100K-200K,4,SI,SI,NO,05 de Agosto del 2020,805,GANGA EN MUY BUENAS CONDICIONES ECONOMICO TODO AL DIA APROVECHE,Si,4150000,0,4427435,0.06266269295878991
99362177,Nissan,VERSA,2012,Moderno,"1,600 cc",Sedán,Gasolina,Automática/Dual,Excelente,100K-200K,4,SI,SI,NO,12 de Agosto del 2020,655,Excelente estado y poco uso. Se vende por viaje,Si,4150000,0,5140532,0.1926905619885257
2154453,Toyota,4RUNNER,1998,Viejo,"3,400 cc",Todo Terreno 4x4,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,SI,25 de Julio del 2020,1821,RECIBO-GARANTIA-FINANCIO-P-INSCRIBIR-USA-Facebook Autos Importados Escazu,Si,4175000,0,3679637,-0.13462279023718915
97149977,Hyundai,ELANTRA GLS,2008,Regular,"2,000 cc",Sedán,Gasolina,Automática/Dual,Excelente,200K-500K,4,SI,SI,NO,06 de Julio del 2020,396,Excelente estado las  llantas nuevas al igual que la batería con garantía. Interior impecable,Si,4150000,0,2682909,-0.5468284611964103
61667227,Toyota,YARIS,2009,Regular,"1,500 cc",Sedán,Gasolina,Manual,Muy Bueno,200K-500K,4,SI,SI,NO,16 de Julio del 2020,363,,Si,4150000,0,3691111,-0.12432273101513339
21084221,Hyundai,ACCENT GLS,2009,Regular,"1,400 cc",Sedán,Gasolina,Manual,Muy Bueno,100K-200K,4,SI,SI,NO,22 de Julio del 2020,163,Aire Acond Direc Hidraulica Vidrios Electr Cierre Central excelente estado motor Muy bien carroceria,No,4150000,0,2862610,-0.4497259493958311
7327009,Suzuki,ALTO,2017,Moderno,800 cc,Hatchback,Gasolina,Manual,Excelente,50K-100K,4,SI,SI,SI,24 de Julio del 2020,342,"comprado en agencia recibo y financio al 100% 

8861-4847",Si,4150000,0,5506993,0.24641269745576216
21808757,Toyota,YARIS,2007,Regular,"1,500 cc",Hatchback,Gasolina,Automática/Dual,Excelente,50K-100K,3,SI,NO,NO,24 de Julio del 2020,373,CERO ÓXIDO-IMPECABLE - RTV EN BLANCO Paquete eléctrico bajo kilometraje,Si,4150000,0,4638888,0.10538905013442877
45798760,Suzuki,CELERIO,2013,Moderno,"1,000 cc",Hatchback,Gasolina,Automática/Dual,Excelente,50K-100K,4,SI,SI,NO,28 de Julio del 2020,530,TRASPASO INCLUIDO BAJISIMO KILOMETRAJE POCO USO EXC ESTADO,Si,4150000,0,5506993,0.24641269745576216
51757365,Isuzu,TROOPER,1999,Viejo,"3,100 cc",Todo Terreno 4x4,Diesel,Manual,Excelente,200K-500K,4,SI,SI,NO,04 de Agosto del 2020,456,Llantas nuevas todo el paquete electrico tapiceria intacto pintura buenas condisiones se puede resiv,Si,4150000,0,3825000,-0.08496732026143791
73823187,Daihatsu,TERIOS,2008,Regular,"1,600 cc",Todo Terreno 4x2,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,NO,04 de Agosto del 2020,383,,Si,4150000,0,4475000,0.07262569832402235
14219836,Toyota,RAV4,2001,Regular,"2,000 cc",Todo Terreno 4x2,Gasolina,Automática/Dual,Excelente,100K-200K,5,SI,NO,NO,04 de Agosto del 2020,169,Están en excelente estado - hoja RTV Limpa - es un chineo - info por WhatsApp,Si,4150000,0,5159558,0.19566753586256808
8917446,Toyota,COROLLA LE VVT-I,2003,Regular,"1,800 cc",Sedán,Gasolina,Automática/Dual,Excelente,100K-200K,4,SI,SI,SI,24 de Julio del 2020,278,AL DIA-GARANTIA X ESCRITO-RECIBO-FINANCIO-autossantodomingocrABIERT DOMINGO.GUANACASTE SANTA CRUZ,Si,4175000,0,4105729,-0.016871790612580616
6462889,Kia,RIO LX,2009,Regular,"1,600 cc",Sedán,Gasolina,Automática/Dual,Excelente,100K-200K,4,SI,SI,SI,01 de Agosto del 2020,171,RTV-P-INSCRIBIR-USA-FULL-GARANTIA X ESCRITO-RECIBO-FINANCIO-autossantodomingocr.com-ABIERTO DOMINGOS,Si,4175000,0,3168181,-0.31779087116550475
