"id","marca","modelo","año","moderno","cilindrada","estilo","combustible","transmisión","estado","kilometraje","puertas","pago impuesto","negociable","recibe vehículo","fecha ingreso","veces visto","comentarios","tiene imagen","precio"
"86507245","Citroen","C3","2018","Moderno","1,600 cc","Hatchback","Diesel","Manual","Excelente","20K-50K","4","SI","SI","NO","08 de Julio del 2020","491","Turbo diesel super economico Vendo porque necesito uno mas grande Muchas Extras","Si","9000000"
"14260751","Mitsubishi","L200","2007","Regular","2,500 cc","Pickup 4x4","Diesel","Manual","Excelente","200K-500K","4","SI","NO","NO","09 de Julio del 2020","2109","Esta perfecto muchas extras llantas nuevas suspensión nueva y barras también aproveche buen precio","Si","9000000"
"70245506","Isuzu","QKR","2015","Moderno","2,800 cc","Camión 1.0-3.5 ton.","Diesel","Manual","Excelente","200K-500K","2","SI","SI","NO","09 de Julio del 2020","1123","muy cuidado kilometraje real  todos los mantenimientos","Si","9000000"
"70815287","BMW","X5","2009","Regular","3,000 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","200K-500K","5","SI","SI","NO","15 de Julio del 2020","3479","EXCELENTE ESTADO MUCHAS EXTRAS","Si","9000000"
"84303940","Fiat","500E","2015","Moderno","0 cc","Hatchback","Eléctrico","Automática/Dual","Excelente","20K-50K","3","SI","SI","NO","18 de Julio del 2020","851","Impecable. Motivo de venta viaje.","Si","9000000"
"7488538","Chevrolet","AVEO LT","2015","Moderno","1,600 cc","Hatchback","Gasolina","Automática/Dual","Excelente","50K-100K","4","SI","SI","NO","09 de Julio del 2020","391","Véalo cuando quiera TURBO de Agencia, Cuatro Discos, Asientos Cuero, Sunroof Elec, Control Tracción.","Si","9000000"
"77368482","Hyundai","ACCENT","2018","Moderno","1,400 cc","Sedán","Gasolina","Manual","Excelente","50K-100K","4","SI","SI","NO","10 de Julio del 2020","322","Excelente condición urge vender para compra de un vehículo más grande.","Si","9000000"
"66533885","Nissan","NAVARA LE","2009","Regular","2,500 cc","Pickup 4x4","Diesel","Manual","Muy Bueno","200K-500K","4","SI","SI","NO","10 de Julio del 2020","1100","","Si","9000000"
"72585887","Toyota","LAND CRUISER","1994","Viejo","4,200 cc","Station Wagon","Diesel","Manual","Excelente","<20K","3","SI","SI","NO","10 de Julio del 2020","309","Con eje flotante carro estilo ambulancia","No","9000000"
"32344429","Hyundai","I20  GL","2018","Moderno","1,200 cc","Hatchback","Gasolina","Manual","Excelente","50K-100K","5","SI","SI","NO","13 de Julio del 2020","246","Traspaso del credito con credi Q. Prima opcional.!!! Aproveche llantas nuevas","Si","9000000"
"51763798","Mitsubishi","LANCER RALLIART","2011","Moderno","2,000 cc","Sedán","Gasolina","Automática/Dual","Muy Bueno","20K-50K","4","SI","SI","NO","15 de Julio del 2020","586","Polarizado de seguridad  alto flujo borla filtro kyn y full audio.","Si","9000000"
"34722906","Mahindra","SCORPIO","2010","Regular","2,600 cc","Pickup 4x4","Diesel","Manual","Excelente","50K-100K","4","SI","SI","NO","15 de Julio del 2020","477","Un solo dueño. Excelente carro. Buen motor. Lona y estructura incluida se puede quitar.","Si","9000000"
"25768555","Mitsubishi","CANTER","2003","Regular","3,907 cc","Camión 1.0-3.5 ton.","Diesel","Manual","Excelente","<20K","2","SI","SI","NO","15 de Julio del 2020","358","Excelente estado precio negociable","Si","9000000"
"8238629","Toyota","YARIS","2018","Moderno","1,500 cc","Sedán","Gasolina","Automática/Dual","Excelente","50K-100K","4","SI","SI","SI","21 de Julio del 2020","290","excelente estado recibo vehiculo financiamiento disponible en blanco y dorado","Si","9000000"
"30688227","Suzuki","ERTIGA","2018","Moderno","1,400 cc","Station Wagon","Gasolina","Automática/Dual","Excelente","20K-50K","5","SI","SI","NO","22 de Julio del 2020","291","","Si","9000000"
"41071475","Audi","Q5 OFF ROAD PACKAGE","2010","Regular","2,000 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","50K-100K","5","SI","SI","NO","24 de Julio del 2020","716","Pedido Especial ORP - Paquete OFF-ROAD - Aros Diecinueve - Side Flares - Paquete Electrico","Si","9000000"
"11717317","Suzuki","GRAND VITARA","2013","Moderno","2,400 cc","Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente","100K-200K","5","SI","NO","NO","27 de Julio del 2020","456","Se recibe otro carro","Si","9000000"
